Indeks;Första år;Sista år;Finsk släkt;Förnamn;Efternamn;Släktbelägg;Ort;Nuv. Socken;Län;Arkivkälla;Källspecifikation;2:a källa;Uppg.-lämn;Kommentarer;;
178;1821;;Haljainen;;;Haljainen;Gransjön;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:89;;;;
179;1821;;Haljainen;;;Haljainen;Gåstjärn;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:89;;;;
180;1821;;Haljainen;;;Haljainen;Halvarstorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:87;;;;
181;1821;;Haljainen;;;Haljainen;Hatacktorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:87;;;;
182;1821;;Haljainen;;;Haljainen;Hollandstorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:100;;;;
183;1821;;Haljainen;;;Haljainen;Hällsjön;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:97;;;;
184;1821;;Haljainen;;;Haljainen;Kaikelandstorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:96;;;;
185;1821;;Haljainen;;;Haljainen;Kalsjøberget;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:125;;;;
186;1821;;Haljainen;;;Haljainen;Kapestorpet;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:88;;;;
187;1821;;Haljainen;;;Haljainen;Kartberg;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:90f;;;;
188;1821;;Haljainen;;;Haljainen;Kronskogen;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:104;;;;
189;1821;;Haljainen;;;Haljainen;Lillrännberg;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:110;;;;
190;1821;;Haljainen;;;Haljainen;Moldusen;Grue Finnskog;No;FRA:SHS;Gottlund VII:9:8;Gtl4:125,128;;;;
191;1821;;Haljainen;;;Haljainen;Mulltjärn;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:97f;;;;
192;1821;;Haljainen;;;Haljainen;Nolla;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:90;;;;
193;1821;;Haljainen;;;Haljainen;N Röjdåsen;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:96,110;;;;
194;1821;;Haljainen;;;Haljainen;N Viggen;Nyskoga;S;FRA:SHS;Gottlund VII:9:8;Gtl4:157,167;;;;
195;1821;;Haljainen;;;Haljainen;N Åskagsberg;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:88;;;;
196;1821;;Haljainen;;;Haljainen;Nyckelvattenberg;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:91;;;;
197;1821;;Haljainen;;;Haljainen;Rosastorp;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:86;;;;
198;1821;;Haljainen;;;Haljainen;Röjdoset;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:99;;;;
199;1821;;Haljainen;;;Haljainen;Råbäcken;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:91;;;;
200;1821;;Haljainen;;;Haljainen;Stenbråten;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:85;;;;
201;1821;;Haljainen;;;Haljainen;S Röjdåsen;Östmark;S;FRA:SHS;Gottlund VII:9:8;Gtl4:91,96,109;;;;
